node	root-dist	hP	hR	hF1	n	nP	nT
Africa	1	0.8083067092651757	0.8489932885906041	0.8281505728314238	298	284	298
Americas	1	0.9898305084745763	0.9898305084745763	0.9898305084745763	295	294	295
Asia	1	0.9271255060728745	0.9398084815321477	0.9334239130434783	731	709	731
Eastern Asia	2	1.0	1.0	1.0	31	31	31
China	3	1.0	1.0	1.0	31	31	31
Europe	1	0.8344988344988346	0.8731707317073171	0.8533969010727056	410	397	410
Eastern Europe	2	0.8022388059701493	0.9907834101382489	0.88659793814433	101	132	101
Bulgaria	3	0.8181818181818182	0.96	0.8834355828220859	24	27	24
Czech republic	3	0.5555555555555556	1.0	0.7142857142857143	8	21	8
Hungary	3	0.8596491228070176	1.0	0.9245283018867925	14	19	14
Latin America and the Caribbean	2	0.9928571428571429	0.9858156028368794	0.9893238434163701	282	277	282
Barbados	3	1.0	1.0	1.0	7	7	7
Cuba	3	0.9968051118210862	0.9719626168224299	0.9842271293375394	107	102	107
Dominica	3	1.0	1.0	1.0	10	10	10
Dominican republic	3	0.9812206572769953	0.954337899543379	0.9675925925925927	73	65	73
Jamaica	3	1.0	1.0	1.0	21	21	21
Mexico	3	0.9794871794871794	0.9845360824742269	0.9820051413881747	64	64	64
Northern Africa	2	0.7932405566600398	0.8142857142857143	0.8036253776435045	245	226	245
Egypt	3	0.8568376068376068	0.7425925925925926	0.7956349206349206	180	132	180
Morocco	3	0.7727272727272727	1.0	0.8717948717948718	34	44	34
Northern America	2	0.8235294117647058	1.0	0.9032258064516129	13	17	13
Poland	3	0.9291338582677166	0.8428571428571429	0.8838951310861423	46	27	46
Russian federation	3	0.5625	1.0	0.72	9	16	9
South-eastern Asia	2	0.993006993006993	0.993006993006993	0.993006993006993	143	142	143
Indonesia	3	0.9747899159663865	0.9830508474576272	0.9789029535864979	38	38	38
Malaysia	3	0.96	1.0	0.9795918367346939	22	25	22
Singapore	3	1.0	1.0	1.0	17	17	17
Southern Asia	2	0.9	1.0	0.9473684210526316	59	70	59
India	3	0.9385964912280702	0.9304347826086956	0.9344978165938864	38	31	38
Pakistan	3	0.8333333333333334	1.0	0.9090909090909091	8	10	8
Southern Europe	2	0.8044596912521441	0.7790697674418605	0.7915611814345992	300	236	300
Greece	3	0.9689922480620154	0.984251968503937	0.9765625	41	42	41
Italy	3	0.9444444444444444	1.0	0.9714285714285714	10	12	10
Malta	3	1.0	1.0	1.0	21	21	21
Portugal	3	0.8777777777777778	1.0	0.9349112426035503	21	30	21
Spain	3	0.7297297297297297	0.6086956521739131	0.6637401229148375	207	98	207
Sri lanka	3	0.7333333333333333	1.0	0.846153846153846	13	25	13
Sub-Saharan Africa	2	0.9224137931034483	1.0	0.9596412556053812	53	58	53
Cape verde	3	0.82	0.9761904761904762	0.8913043478260869	14	16	14
Kenya	3	1.0	1.0	1.0	22	22	22
South africa	3	1.0	1.0	1.0	8	8	8
Tanzania	3	1.0	1.0	1.0	9	9	9
Thailand	3	0.9559748427672956	0.9212121212121213	0.9382716049382717	55	44	55
Tunisia	3	0.6597222222222222	1.0	0.7949790794979079	31	48	31
United states	3	0.803921568627451	1.0	0.891304347826087	13	17	13
Vietnam	3	1.0	1.0	1.0	11	11	11
Western Asia	2	0.9090909090909091	0.893574297188755	0.9012658227848102	498	445	498
Cyprus	3	0.9	1.0	0.9473684210526316	18	20	18
Saudi arabia	3	1.0	1.0	1.0	17	17	17
Turkey	3	0.9188955996548749	0.857487922705314	0.8871303623490213	414	340	414
United Arab Emirates	3	0.8562874251497006	0.959731543624161	0.9050632911392404	49	54	49
Western Europe	2	0.6764705882352942	1.0	0.8070175438596492	9	17	9
France	3	0.6274509803921569	1.0	0.7710843373493976	9	17	9
